api blended,real,model
37015216730000,2186.8701986,3247.909423828125
37129287660000,3096.405510899999,2809.068603515625
37117203730000,2125.89780961,2343.9326171875
37015206320000,3711.454259,3047.39501953125
37081207190000,2172.5689999500005,2267.565673828125
47103027580000,2503.9545913000006,2856.537353515625
47017061920000,2621.6143859,2613.048583984375
37125243090100,2468.1509094099997,1654.5311279296875
37015211750000,1993.6079463300007,1578.4000244140625
37059256680100,2729.2312289000006,848.05029296875
47017062800000,4181.636391039,3644.135498046875
37059259120000,2615.08134425708,2361.982177734375
37019220040000,1660.86527725,1795.3375244140625
37019221150000,3339.955249562001,2560.15576171875
37115202790000,8586.445202999997,7772.6865234375
37081214470000,4700.292613800001,4400.04052734375
37081208110100,2824.131995800001,2359.08251953125
37129285580000,2907.6474640200004,2249.018310546875
37015216270000,3190.3983564,3368.14208984375
37081202790000,1989.6102198864,2196.073974609375
37059262950000,2295.1045981499997,3210.841552734375
37117204230000,713.5057931599999,1107.50341796875
37083542250000,519.0236202199998,893.6036987304688
47051014190000,1189.47603695,1345.8782958984375
37117216440000,6128.070565600001,4401.71728515625
47017063830000,2822.969258339999,2941.84375
37129287260100,1235.7994598699995,1056.451904296875
37015227080000,5024.147713339999,4397.22900390625
37117204670000,1605.26392879,2095.126953125
37059257130000,1335.94780837,1609.28271484375
37003222030000,1786.07327283,1586.5966796875
37081202310000,1191.2533995469998,1335.094970703125
37047245350000,272.26075919549993,1284.60205078125
37115200450000,3552.592189,3375.40234375
37117202890000,4252.917592299999,2499.17822265625
37015216800000,2850.4946965300005,2590.220458984375
37117202730000,1283.1178264700002,1125.2108154296875
37125240980000,2052.00815219,2121.38134765625
47095020830000,3561.51999509,3248.327880859375
37015220000000,3130.6114235,3308.937255859375
37033268470000,1219.9721343649994,1585.3526611328125
37081205490000,2552.2132667,2131.833984375
37115219450000,2895.942924449999,3499.810546875
37117216320000,3925.057330399999,2706.392578125
47103027330000,4414.7910590264,3510.548583984375
37081210080000,4304.887056209999,3929.726318359375
37081206210100,4187.449937900003,3718.06640625
37003222300000,2718.5235836100005,2660.607177734375
37081202820000,2557.794392686998,1548.5428466796875
37115214570000,3660.46868401,3619.57763671875
37117204600000,1052.84509802,1487.7957763671875
37059257210000,1125.6461556900001,1543.4129638671875
37117212400000,2057.35808962,1293.303466796875
47051016720000,1709.7424962239195,1893.596435546875
37115212730000,10606.563952599996,9414.3896484375
37081206430100,3538.6902136000003,3779.084716796875
37117204560000,2763.2132883999993,2720.30615234375
37015219870000,3380.7946329999995,2723.4912109375
47001032380000,3743.796602000001,3438.711669921875
37015227060000,3519.1163001999994,4598.435546875
37125248290000,3278.0749242000006,4425.96923828125
47017064040000,4777.1649232,4905.26611328125
37117204110000,1921.5266946999998,1587.214599609375
37117203550000,998.8622743899999,1757.505859375
37015220580000,3079.6359984700002,3156.52783203125
37015225910000,8274.636287640002,8164.71435546875
37063371370000,827.8083348600001,851.5162963867188
37015215840000,1059.7396202700002,1511.90234375
37015218010000,682.8117547500001,830.3152465820312
37083565440000,2017.1765348400002,2592.57568359375
37083561140000,1778.3061229600003,1848.916259765625
37059254500000,5696.968970299997,2536.16796875
37115216670000,4523.037449999999,4534.20458984375
37081214480000,4788.835744,4140.01123046875
37115213780000,3432.5869678000004,7574.62109375
37059252680000,1586.6082425699994,1659.7010498046875
47017062700000,4263.2402403999995,3771.5625
37115206820000,7680.096003599998,8300.7958984375
37015215540000,6491.40335683,6427.44580078125
37131204490000,10386.490986100003,7087.26025390625
37115214290000,2491.65677556,3208.81640625
37115212190000,9302.624375399999,9133.37890625
37117203840000,1388.2466325399996,947.0582275390625
47017062460000,6224.9297782,5216.01220703125
37015226350000,4124.364877999999,4825.43359375
37117204340000,3064.4094640000008,2464.578125
37115219120000,1125.6578683109997,3035.39892578125
37059265260000,2143.3705064499995,3012.155029296875
37083548810000,1379.9673185999998,1292.44140625
37131202110000,6423.823220699998,5690.16650390625
37003222240000,2476.7055467099985,2033.03515625
37003222860000,4021.83311198,2967.93408203125
37081209070000,1980.58768924,1811.11572265625
37115209840000,9511.500409580001,8803.1220703125
37015214350000,3964.3556695,5554.52001953125
37081207450000,1132.1910576299995,1871.5799560546875
37015223990000,5285.1387485000005,4116.146484375
37081207550000,2118.8329762099993,2467.336181640625
47017064480000,2430.934272697999,2842.803955078125
37081206380000,2733.3961446400003,2007.8812255859375
37019219120000,2344.711498699999,1968.3819580078125
37117212960000,3669.058872157001,4214.048828125
47017061810000,3546.223392899999,4081.4794921875
37081204450000,2069.3116957,2238.53271484375
37015216400000,2655.7694659000003,2013.5677490234375
37015207060000,8368.27286215,5299.69482421875
37131201400000,3909.5227650899988,3461.380859375
37081211970000,4892.2292763000005,5500.46484375
37117203900000,980.1462617599999,1387.7498779296875
37105216140000,1358.6787166400004,1427.4290771484375
47103028730000,3848.0861976000015,3018.720703125
37015220290000,6866.837181170003,6953.46240234375
37035211960000,1293.8237201700003,1919.9071044921875
37125243320000,1477.7997867799997,2260.440673828125
37015219410000,5119.078195099999,3527.782470703125
37059257850000,2160.981920630001,1219.6591796875
37059265690000,3103.2874202500007,3529.666015625
37129288050000,1707.087464,2065.45947265625
37115200440000,833.0656785600005,2888.967041015625
37015205040000,630.9599779600001,1580.051025390625
37047247960000,1730.6662769465,2033.4404296875
37059263160000,2789.1564887999994,3052.374267578125
37059263980000,2361.94569575,2414.36083984375
37019218640000,1268.1008328899998,1724.842529296875
37015218060000,2783.7703926000004,2847.33056640625
37115206770000,1369.5764812000002,3232.682861328125
37015202810000,2835.2140912999994,2879.193603515625
37019220960000,1301.19568516602,1876.1962890625
37105216690000,955.2070015399999,1615.89501953125
37019223030000,1232.90662896,1472.7548828125
37117205530000,692.9221654299998,662.6611938476562
37113201610000,10192.273811300001,10244.8505859375
37015213700000,2025.5979907200003,1985.490234375
37131202380000,5390.6670873,3597.325927734375
37015214550000,2230.4506987800005,3139.97412109375
37015228650000,11352.6320877,10147.69140625
37115206900000,3961.6942476999993,3844.602294921875
37059252380000,917.6538531699999,1348.8892822265625
37035212310000,3062.4387990200003,2438.80224609375
47085100190000,3570.772229999999,3913.91943359375
37115212010000,3902.685194069999,3492.898681640625
37081211170000,5183.363764199999,4270.11181640625
37125245570000,4776.7557801,4528.76904296875
37035212550000,2442.4887956999987,2688.954833984375
37125270810000,5904.574812700002,5645.3408203125
37059263590000,4937.6203005,4175.26904296875
37059266000000,4039.7468612000002,5157.18359375
37019221110100,2548.2983464999998,1863.9378662109375
37081208450000,3943.762540799999,3279.79931640625
47017066200000,3082.0079377000006,3472.280517578125
37059258230000,6656.258856299998,6441.10791015625
37015201490000,3848.9612202000003,2697.915771484375
37081204150000,2729.106756806,2829.950927734375
37115207280000,8414.1082634,5331.45166015625
37115206530000,2360.624792713,3592.26318359375
37081206290000,2941.620838610001,2498.89794921875
37015208860000,3441.0703769000006,2862.89990234375
37081202290000,1731.6219560040004,1479.7523193359375
37033268710000,1390.9669438699996,1404.6937255859375
37115201210000,2500.5698189900004,3941.6611328125
37081211230000,8962.60004874,6683.29248046875
37015201590000,758.5228874599999,1314.45458984375
37115207160000,2724.3523357999993,3771.146240234375
37015219750000,8278.07578253294,7075.001953125
37117208880000,1584.88944308,1968.20361328125
37115211750000,5075.1537688200015,4996.62841796875
37019221190000,479.98371208498406,739.6710205078125
37015213940000,4247.692065100002,3233.467529296875
37131202160000,8366.118846320001,8295.2138671875
37015207940000,3207.4183732000006,3723.453857421875
37113200940000,4957.521035900002,2495.470703125
37115203220000,3601.25446517,4058.430908203125
37059262910000,4246.733149499997,3895.934326171875
37015218450000,7972.381144699999,7584.3037109375
47103027630000,2709.1171225999997,2565.585693359375
37081204620000,1327.9079637961001,1597.9879150390625
37081206440000,2079.39161719,2433.03125
37115209490000,11703.3679257,8995.40625
37115216370000,4548.543530599998,4949.8623046875
37081207050000,2945.7926845800002,2784.564697265625
37081211130000,1481.3388555670003,1720.3980712890625
37125269300100,3795.5560224000005,3366.877685546875
37125249000000,2560.0708545199996,2125.706787109375
47091012930000,2732.1044968997803,2692.3896484375
37117213510000,2676.110498680001,2339.085693359375
37081209670000,6308.755017700002,6470.873046875
37117211200000,2635.0523033180007,3069.171142578125
37015210950000,2437.05243622,3927.81884765625
37015202050000,3172.3905581000004,2235.419189453125
47017061480000,5898.490565299999,4732.30419921875
37115202710000,8333.638699099998,7611.4990234375
37081204900000,2286.07123566,2002.4615478515625
37105216830000,1207.6017127600003,1115.555908203125
37081211000000,2667.7892147199996,2381.852294921875
47017063950000,3542.190050189999,3135.84326171875
37115210220000,3704.297795999999,4742.8232421875
37015201240000,4184.68786,4787.81005859375
