ScreeningParam,EorMethod,Min,Max,Stopper
Oil Viscosity (in situ),Vert. Immisc. CO2,0.1,600,FALSE
Oil Viscosity (in situ),Vert. Immisc. HC,0.1,600,FALSE
Oil Viscosity (in situ),Vert. Immisc. N2,0.1,600,FALSE
Oil Viscosity (in situ),Steam Flooding,1000,10000,TRUE
Oil Viscosity (in situ),CSS,1000,1000000,TRUE
Oil Viscosity (in situ),SAGD,4000,1000000,TRUE
Oil Viscosity (in situ),Hot Water,1000,10000,TRUE
Oil Viscosity (in situ),Polymer Flooding,10,1000,FALSE
Oil Viscosity (in situ),ASP,0.1,35,FALSE
Reservoir Depth,Horz. Misc. CO2,2500,40000,FALSE
Reservoir Depth,Horz. Misc. HC,4000,16000,FALSE
Reservoir Depth,Horz. Misc. N2,10000,40000,FALSE
Reservoir Depth,Vert. Misc. CO2,2500,40000,FALSE
Reservoir Depth,Vert. Misc. HC,4000,16000,FALSE
Reservoir Depth,Vert. Misc. N2,10000,40000,FALSE
Reservoir Depth,Vert. Immisc. CO2,500,2500,FALSE
Reservoir Depth,Vert. Immisc. HC,500,2500,FALSE
Reservoir Depth,Vert. Immisc. N2,500,2500,FALSE
Reservoir Depth,Steam Flooding,400,4500,TRUE
Reservoir Depth,CSS,400,3000,TRUE
Reservoir Depth,SAGD,250,3000,TRUE
Reservoir Depth,Hot Water,500,3000,TRUE
Reservoir Depth,Polymer Flooding,800,9000,FALSE
Reservoir Depth,ASP,500,9000,FALSE
Reservoir Dip,Horz. Misc. CO2,0.1,10,FALSE
Reservoir Dip,Horz. Misc. HC,0.1,10,FALSE
Reservoir Dip,Horz. Misc. N2,0.1,10,FALSE
Reservoir Dip,Vert. Misc. CO2,10,90,FALSE
Reservoir Dip,Vert. Misc. HC,10,90,FALSE
Reservoir Dip,Vert. Misc. N2,10,90,FALSE
Reservoir Dip,Vert. Immisc. CO2,10,90,FALSE
Reservoir Dip,Vert. Immisc. HC,10,90,FALSE
Reservoir Dip,Vert. Immisc. N2,10,90,FALSE
Reservoir Dip,Steam Flooding,0.1,90,FALSE
Reservoir Dip,CSS,0.1,90,FALSE
Reservoir Dip,SAGD,0.1,90,FALSE
Reservoir Dip,Hot Water,0.1,90,FALSE
Reservoir Dip,Polymer Flooding,0.1,90,FALSE
Reservoir Dip,ASP,0.1,90,FALSE
Reservoir Temperature,Horz. Misc. CO2,50,400,FALSE
Reservoir Temperature,Horz. Misc. HC,50,400,FALSE
Reservoir Temperature,Horz. Misc. N2,50,400,FALSE
Reservoir Temperature,Vert. Misc. CO2,50,400,FALSE
Reservoir Temperature,Vert. Misc. HC,50,400,FALSE
Reservoir Temperature,Vert. Misc. N2,50,400,FALSE
Reservoir Temperature,Vert. Immisc. CO2,50,400,FALSE
Reservoir Temperature,Vert. Immisc. HC,50,400,FALSE
Reservoir Temperature,Vert. Immisc. N2,50,400,FALSE
Reservoir Temperature,Steam Flooding,50,400,FALSE
Reservoir Temperature,CSS,50,400,FALSE
Reservoir Temperature,SAGD,50,400,FALSE
Reservoir Temperature,Hot Water,50,400,TRUE
Reservoir Temperature,Polymer Flooding,50,170,TRUE
Reservoir Temperature,ASP,50,200,TRUE
